Title,Price,Rating,Availability,Price Category
A Light in the Attic,51.77,3,In stock,High Price
Tipping the Velvet,53.74,1,In stock,High Price
Soumission,50.1,1,In stock,High Price
Sharp Objects,47.82,4,In stock,High Price
Sapiens: A Brief History of Humankind,54.23,5,In stock,High Price
The Requiem Red,22.65,1,In stock,Medium Price
The Dirty Little Secrets of Getting Your Dream Job,33.34,4,In stock,Medium Price
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,3,In stock,Low Price
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,4,In stock,Medium Price
The Black Maria,52.15,1,In stock,High Price
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2,In stock,Low Price
Shakespeare's Sonnets,20.66,4,In stock,Medium Price
Set Me Free,17.46,5,In stock,Low Price
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5,In stock,High Price
Rip it Up and Start Again,35.02,5,In stock,Medium Price
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,3,In stock,High Price
Olio,23.88,1,In stock,Medium Price
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1,In stock,Medium Price
Libertarianism for Beginners,51.33,2,In stock,High Price
It's Only the Himalayas,45.17,2,In stock,High Price
In Her Wake,12.84,1,In stock,Low Price
How Music Works,37.32,2,In stock,Medium Price
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,3,In stock,Medium Price
Chase Me (Paris Nights #2),25.27,5,In stock,Medium Price
Black Dust,34.53,5,In stock,Medium Price
Birdsong: A Story in Pictures,54.64,3,In stock,High Price
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,3,In stock,Medium Price
Aladdin and His Wonderful Lamp,53.13,3,In stock,High Price
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.3,5,In stock,High Price
Wall and Piece,44.18,4,In stock,High Price
The Four Agreements: A Practical Guide to Personal Freedom,17.66,5,In stock,Low Price
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,3,In stock,Medium Price
The Elephant Tree,23.82,5,In stock,Medium Price
The Bear and the Piano,36.89,1,In stock,Medium Price
Sophie's World,15.94,5,In stock,Low Price
Penny Maybe,33.29,3,In stock,Medium Price
Maude (1883-1993):She Grew Up with the country,18.02,2,In stock,Low Price
"In a Dark, Dark Wood",19.63,1,In stock,Low Price
Behind Closed Doors,52.22,4,In stock,High Price
You can't bury them all: Poems,33.63,2,In stock,Medium Price
Slow States of Collapse: Poems,57.31,3,In stock,High Price
Reasons to Stay Alive,26.41,2,In stock,Medium Price
Private Paris (Private #10),47.61,5,In stock,High Price
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,5,In stock,Medium Price
Without Borders (Wanderlove #1),45.07,2,In stock,High Price
When We Collided,31.77,1,In stock,Medium Price
"We Love You, Charlie Freeman",50.27,5,In stock,High Price
Untitled Collection: Sabbath Poems 2014,14.27,4,In stock,Low Price
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,4,In stock,High Price
Unicorn Tracks,18.78,3,In stock,Low Price
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,1,In stock,Medium Price
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,1,In stock,Low Price
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,3,In stock,Medium Price
This One Summer,19.49,4,In stock,Low Price
Thirst,17.27,5,In stock,Low Price
The Torch Is Passed: A Harding Family Story,19.09,1,In stock,Low Price
The Secret of Dreadwillow Carse,56.13,1,In stock,High Price
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,1,In stock,High Price
The Past Never Ends,56.5,4,In stock,High Price
The Natural History of Us (The Fine Art of Pretending #2),45.22,3,In stock,High Price
